# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.46
2                         2.93
4                         5.81
8                        11.69
16                       23.43
32                       46.60
64                       93.62
128                     185.14
256                     361.04
512                     688.26
1024                   1256.01
2048                   2142.04
4096                   3287.03
8192                   1959.51
16384                  2595.10
32768                  2893.83
65536                  2898.43
131072                 5245.18
262144                 4949.12
524288                 5714.89
1048576                6846.69
2097152                7063.98
4194304                7077.57
Application 7588547 resources: utime ~4s, stime ~2s, Rss ~17884, inblocks ~12667, outblocks ~31402
Job Cleanup ran on Thu Feb 16 22:43:16 EST 2017
===============================
submit_args  : 	 submit_args = runjob_mpi.pbs
NIDS         : 	 900-901
NID Placement: 	 900/1 901/1 
